"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","fails fast when the fixture page is not valid HTML","Unit | Scripts | Postman | Provider Validation Fixture Probe","2026-07-15","passed","2026-07-15","","","",""
"","12","uses the production base URL by default","Unit | Scripts | Run Postman Deploy","2026-07-15","passed","2026-07-15","","parseArgs","",""
"","1","flags requests with no exact status expectation","Unit | Scripts | Postman | Collection Lint","2026-07-15","passed","2026-07-15","","lintStatusExpectations","",""
"","1","accepts 4xx/5xx requests that assert the public error body","Unit | Scripts | Postman | Collection Lint","2026-07-15","passed","2026-07-15","","lintErrorContract","",""
"","2","connects Redis-backed providers, creates scoped stores, and closes the client","Unit | Infrastructure | Rate Limit Store","2026-07-15","passed","2026-07-15","","","",""
"","13","returns 500 on scraper failure","Integration | API","2026-07-15","passed","2026-07-15","","GET /api/scraper/images","",""
"","2","declares the required fields of the async job responses","Unit | Config | Swagger","2026-07-15","passed","2026-07-15","","required schemas","",""
"","1","propagates prompt, model, and limit configuration","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","openrouter provider adapter contract","",""
"","2","publishes reusable bearer and API-key security schemes","Unit | Config | Swagger","2026-07-15","passed","2026-07-15","","security and public endpoints","",""
"","1","skips restoration when the GitHub token or repository context is missing","Unit | Allure History Artifact Restore","2026-07-15","passed","2026-07-15","","","",""
"","2","rejects a reference to an internal working note (see .local/docs-audit.md for detail)","Unit | Scripts | Docs | Validate Docs","2026-07-15","passed","2026-07-15","","prohibited references","",""
"","1","throws when there is no earlier successful deploy","Unit | Scripts | Render | Rollback Render Service","2026-07-15","passed","2026-07-15","","selectRollbackDeploy","",""
"","7","keeps the root service index public without authentication","Integration | API","2026-07-15","passed","2026-07-15","","API access control","",""
"","2","builds environment properties from the current runtime and CI env","Unit | Allure Metadata Writer","2026-07-15","passed","2026-07-15","","","",""
"","2","reports disallowed licenses as advisory without failing the review","Unit | Scripts | GitHub | Review Dependencies","2026-07-15","passed","2026-07-15","","license policy","",""
"","68","rejects an Azure endpoint without credentials","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","6","removes the PR index when no PR reports remain in the composed site","Unit | Scripts | GitHub | Compose Pages Site","2026-07-15","passed","2026-07-15","","","",""
"","1","keeps provider-specific request env vars in provider-integration mode","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","getSelectedProviderPlans","",""
"","1","analyzes with the security-extended query suite","Unit | Scripts | GitHub | CodeQL Workflow","2026-07-15","passed","2026-07-15","","","",""
"","1","classifies isolated image-source failures as skippable","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","replicate provider adapter contract","",""
"","2","loads configured certificate files when paths are provided","Unit | Infrastructure | Load TLS Credentials","2026-07-15","passed","2026-07-15","","","",""
"","1","records how the promotion happened in the deployment payload","Unit | Scripts | GitHub | Promote To Production","2026-07-15","passed","2026-07-15","","deployment evidence","",""
"","1","returns true for a valid http URL","Unit | URL Validator","2026-07-15","passed","2026-07-15","","","",""
"","0","tolerates a spec with no components","Unit | Scripts | OpenAPI | Freshness Check","2026-07-15","passed","2026-07-15","","summarizeDrift","",""
"","226","accepts a Replicate-only provider configuration","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","3","lists the top-level folder names from a collection","Unit | Scripts | Postman | Collection Utils","2026-07-15","passed","2026-07-15","","","",""
"","4","rejects protected endpoints when the token is not in API_AUTH_TOKENS","Integration | API","2026-07-15","passed","2026-07-15","","API access control","",""
